split,method,accuracy,auc,f1,precision,recall
test_baseline.txt,baseline,1.0,1.0,1.0,1.0,1.0
test_baseline.txt,tta,1.0,1.0,1.0,1.0,1.0
test_noise_s40.txt,baseline,0.5166666666666667,0.6611111111111111,0.17142857142857143,0.6,0.1
test_noise_s40.txt,tta,0.5166666666666667,0.6833333333333333,0.17142857142857143,0.6,0.1
test_fgsm_e16.txt,baseline,0.4166666666666667,0.3455555555555556,0.05405405405405406,0.14285714285714285,0.03333333333333333
test_fgsm_e16.txt,tta,0.26666666666666666,0.07333333333333333,0.043478260869565216,0.0625,0.03333333333333333
test_blur_k11.txt,baseline,0.85,0.9533333333333333,0.8656716417910447,0.7837837837837838,0.9666666666666667
test_blur_k11.txt,tta,0.8333333333333334,0.9344444444444446,0.8484848484848485,0.7777777777777778,0.9333333333333333
test_resize_s0p25.txt,baseline,0.8333333333333334,0.9333333333333333,0.8484848484848485,0.7777777777777778,0.9333333333333333
test_resize_s0p25.txt,tta,0.8166666666666667,0.9244444444444445,0.8307692307692308,0.7714285714285715,0.9
